gene	direction	loo_fraction
MFSD2B	up	0.8
AFAP1	up	0.8
SGCG	up	0.8
TCF4	up	0.6
HINT1	up	0.6
THEMIS2	up	0.6
MGLL	up	0.6
SPP1	up	0.6
OLFML2A	up	0.6
RPL5	up	0.6
FXYD1	up	0.6
LYPD6B	up	0.8
EBF1	up	0.8
RN7SL2	up	0.6
TMEM185A	up	0.6
C1orf198	up	0.6
RPL7P1	up	0.6
EPHB1	up	0.6
OLFML3	up	0.6
SAMD9L	up	0.8
RP11-20O24.4	up	0.4
TLE1	up	0.6
CD320	up	0.6
ANXA4	up	0.6
CLEC3B	up	0.6
WNT11	up	0.8
FTH1P2	up	0.8
SULF1	up	0.8
GPX3	up	0.8
MEGF9	up	0.6
GPRC5B	up	0.6
TINAGL1	up	0.6
SLC15A3	up	0.6
AC078941.1	up	0.4
NSG1	up	0.8
ICAM1	up	0.8
SLC26A6	up	0.6
NUDT11	up	0.6
STAB2	up	0.6
SLC3A2	up	0.8
RP4-555D20.2	up	0.4
LDLRAD3	up	0.8
STARD10	up	0.6
PSMB3	up	0.6
RRAS	up	0.6
MAZ	up	0.6
IMP3	up	0.6
RNF212	up	0.6
RASL11B	up	0.6
DHCR7	up	0.6
BOC	up	0.6
ZBTB47	up	0.6
CHL1	up	0.8
C19orf10	up	0.8
MAP3K6	up	0.6
ANPEP	up	0.6
CD9	up	0.6
RPL7A	up	0.6
ANXA3	up	0.8
LGR5	up	0.6
FOXO1	up	0.6
EEF2	up	0.6
CDKN2A	up	0.6
VAMP2	up	0.6
SLC39A7	up	0.6
MYADM	up	0.6
QRICH2	up	0.8
ZNF185	up	0.8
CRABP2	up	0.8
FURIN	up	0.6
PCOLCE2	up	0.6
RCAN2	up	0.8
TRIM28	up	0.6
UNC13B	up	0.6
KEAP1	up	0.6
NID1	up	0.6
IL1RN	up	0.8
C10orf10	up	0.8
ABHD12B	up	0.6
SSX2IP	up	0.6
DHRS2	up	0.8
MAMDC2	up	0.6
CHST15	up	0.8
C12orf57	up	0.6
NUDT4P1	up	0.8
TNC	up	0.8
RELB	up	0.6
SLC2A10	up	0.6
GAL	up	0.4
ATP5J2	up	0.8
ALX4	up	0.8
ROBO2	up	0.8
ADAMTS19	up	0.6
KLHL41	up	0.8
MAGOH	up	0.8
ABCB1	up	0.8
ARHGAP29	up	0.6
RGS3	up	0.6
PLCE1	up	0.6
DFNB31	up	0.8
DUSP23	up	0.8
TCEAL7	up	0.8
PTGER4	up	0.8
NTRK2	up	0.8
ECE2	up	0.8
PVRL3	up	0.8
TP53I11	up	0.8
DNAJA4	up	0.6
RGS14	up	0.6
THSD4	up	0.6
MRPS2	up	0.8
FENDRR	up	0.8
C1QTNF5	up	0.4
CEBPB	up	0.8
PRDX5	up	0.8
C8orf34	up	0.8
MAFB	up	0.6
PARD3B	up	0.6
FABP5P7	up	0.4
RP11-783K16.5	up	0.4
ARHGEF19	up	0.6
PDLIM3	up	0.6
HS3ST3B1	up	0.8
WFDC2	up	0.4
KIAA0040	up	0.8
SLC39A8	up	0.6
M1AP	up	0.6
FOXQ1	up	0.8
SEMA3A	up	0.8
OLFML1	up	0.8
PARP12	up	0.8
SIPA1L2	down	1
RGMB	down	1
ELN	down	1
WNT5A	down	1
ALPK2	down	1
NRG1	down	1
SERPINB2	down	1
GREM2	down	1
SH3D19	down	1
SEMA6D	down	1
CXCL12	down	1
ZEB2	down	1
LAMA3	down	1
KLF12	down	1
SMURF2	down	1
PSD3	down	1
RALGPS2	down	1
ANKRD29	down	1
PRKCE	down	1
ADRA1D	down	1
LDB2	down	1
IRS1	down	1
EPG5	down	1
ZNF521	down	1
MEST	down	1
NR1D2	down	1
SH2D4A	down	1
DLX2	down	1
PDE1C	down	1
NPTX1	down	1
DOK6	down	1
BROX	down	1
FRMD6	down	1
UFL1	down	1
IGF2BP3	down	1
SLC7A5	down	1
TMOD2	down	1
ADAMTS14	down	1
UGCG	down	1
CIT	down	1
FMN2	down	1
LIF	down	1
ATP8B1	down	1
IL7R	down	1
LOXL2	down	1
SLC14A1	down	1
LRRC15	down	1
BDKRB1	down	1
DNAJC6	down	1
RAB3B	down	1
KLF7	down	1
MYLK	down	1
TKT	down	1
GNG12	down	1
TNS1	down	1
SLC4A7	down	1
SAMD9	down	1
RGMB-AS1	down	1
SLC1A5	down	1
AHR	down	1
MKX	down	1
NTNG1	down	1
FGF2	down	1
FMN1	down	1
HMOX1	down	1
TMEM47	down	1
FAM107B	down	1
ICK	down	1
FAM171B	down	1
KCTD12	down	1
DLX1	down	1
NEK10	down	1
PIEZO2	down	1
CCBE1	down	1
LONP1	down	1
COLEC12	down	1
PLCB4	down	1
PLK2	down	1
SASH1	down	1
THBS2	down	1
MYOF	down	1
ITGB8	down	1
KCNH1	down	0.8
ELFN1	down	1
DLC1	down	1
FLNB	down	1
EYA1	down	1
VEGFC	down	1
SLFN5	down	1
SYNJ2	down	1
CACNA2D1	down	1
MAMLD1	down	1
EEA1	down	1
SCN9A	down	1
PSPH	down	1
TXNRD1	down	0.8
AK5	down	1
NRP1	down	1
ARL4C	down	0.8
KCND3	down	0.8
PER3	down	1
SYT11	down	1
RND3	down	1
PRKG2	down	1
ARRDC3	down	0.6
TGFBI	down	0.8
PDGFC	down	1
CPA4	down	0.8
KCTD16	down	1
HMCN1	down	0.8
ID2	down	1
LIMA1	down	1
GULP1	down	1
HIVEP1	down	1
RAPH1	down	1
LYPD6	down	1
SLC22A15	down	1
JUN	down	1
DCLK1	down	0.6
ADCY9	down	1
LINC00968	down	0.8
SERF1B	down	0.8
IGFBP2	down	0.8
PDE4B	down	0.6
SEMA3A	down	1
BCAT1	down	0.6
NHSL2	down	1
GALNT5	down	0.6
PRRX1	down	1
SMC4	down	1
KRTAP1-5	down	1
SCN8A	down	1
SOCS5	down	1
NUDT6	down	0.8
TM4SF20	down	0.8
NDNF	down	0.8
SH3BP4	down	1
FAM63B	down	0.6
TNFSF15	down	0.8
STEAP2	down	1
MBNL1	down	0.8
TNXB	down	1
CHL1	down	0.8
NCEH1	down	1
SHMT2	down	1
VEGFA	down	1
HMGN2	down	0.8
NABP1	down	1
DCBLD2	down	1
ROCK2	down	0.8
TEAD1	down	1
MN1	down	0.6
FOXD1	down	0.6
EXT1	down	0.6
SMAD9	down	0.8
ALDH3A1	down	0.8
VAT1	down	0.6
SLC39A10	down	1
FYCO1	down	0.8
SEL1L3	down	0.8
SPOCK1	down	0.8
JRK	down	1
NCAPG	down	1
ALCAM	down	0.6
PSG5	down	1
NAV3	down	0.8
EBF3	down	0.8
ZMIZ1	down	0.6
HEG1	down	1
N4BP3	down	0.8
ADAM12	down	0.8
ADD3	down	1
TOP2A	down	0.8
SLC35E2B	down	1
PEAK1	down	0.6
BASP1	down	0.6
TBX3	down	0.6
EPS15	down	0.8
SMAD3	down	0.8
PPP1R12A	down	0.6
ATP13A3	down	1
E2F7	down	1
ARHGEF2	down	0.6
LRRC37A17P	down	0.8
CPXM2	down	0.8
KIT	down	0.8
NFAT5	down	0.6
PNPLA3	down	0.8
CADM1	down	0.8
TENM2	down	0.8
BBX	down	0.6
SLC8A1	down	0.6
EPGN	down	0.8
NGF	down	0.6
ITGA8	down	0.8
RRM2B	down	0.6
TRIM16	down	0.6
FER1L6	down	0.8
ZFHX4	down	0.6
GOLGA8B	down	0.8
ITGA11	down	0.8
UNC5D	down	0.8
PCDHGC3	down	0.6
SLC38A2	down	0.6
TSEN15	down	0.6
BDNF	down	0.8
CPEB2	down	0.8
KIAA0754	down	0.4
DPF3	down	0.8
EPHB1	down	0.8
GREB1L	down	0.8
UTRN	down	0.8
SRXN1	down	0.6
OLFML2B	down	0.6
COL8A1	down	0.8
PRKAA1	down	0.8
AKAP2	down	0.8
AQP1	down	0.8
LAMP5	down	0.8
GPRC5A	down	0.8
SEMA3D	down	0.8
TNC	down	0.8
TMEM65	down	0.6
SNTB1	down	0.8
TSC22D2	down	0.6
DOCK4	down	0.6
KIF5B	down	0.6
EIF4EBP1	down	0.6
CD109	down	0.6
SAMD9L	down	0.8
SLC16A7	down	0.6
KIAA1644	down	0.8
RP11-490G2.2	down	0.4
APCDD1	down	0.8
PSG4	down	0.8
DOCK5	down	0.6
KIF18A	down	0.6
PIM1	down	0.6
SGMS2	down	0.8
IPO8	down	0.6
PLCB1	down	0.8
STC2	down	0.8
AXL	down	0.8
CCDC88A	down	0.6
KMT2C	down	0.6
GPNMB	down	0.8
UBR1	down	0.6
BEX1	down	0.8
IL33	down	0.6
STMN1	down	0.6
ISLR	down	0.6
SLC7A11	down	0.8
SULF1	down	0.8
ITGA1	down	0.8
OSR1	down	0.8
FGF5	down	0.6
NR3C1	down	0.6
VLDLR	down	0.6
TNFSF13B	down	0.6
NUPR1	down	0.6
ARHGAP33	down	0.8
C1GALT1	down	0.8
LPXN	down	0.6
ANGPTL2	down	0.6
ADAM33	down	0.8
IL6	down	0.8
EDN1	down	0.6
MAGI1	down	0.6
ERBB2IP	down	0.6
SENP7	down	0.6
PKP4	down	0.6
SCARA3	down	0.6
PKD2	down	0.6
RFX7	down	0.8
RP11-1212A22.1	down	0.4
ADAMTS2	down	0.8
FOXQ1	down	0.8
RPAP2	down	0.8
PTGS2	down	0.8
TRPC1	down	0.6
PFKFB3	down	0.8
ETV1	down	0.6
SLC2A1	down	0.8
CLASP2	down	0.8
HERC3	down	0.8
GAS1	down	0.8
ID1	down	0.8
SLC7A1	down	0.6
KIAA1033	down	0.8
CLIP4	down	0.6
RIN3	down	0.6
NFIX	down	0.6
INSIG1	down	0.6
APOL6	down	0.6
LITAF	down	0.6
POLK	down	0.6
TNNC1	down	0.6
IRAK3	down	0.6
EPHA5	down	0.8
TFPI2	down	0.8
NEDD4	down	0.8
SOD3	down	0.8
DPP4	down	0.8
MKI67	down	0.6
EIF4G3	down	0.6
IARS	down	0.6
DSTYK	down	0.6
FBLN2	down	0.8
ID3	down	0.8
PYGO1	down	0.8
TBC1D8B	down	0.6
MCOLN3	down	0.6
PGD	down	0.6
TCP11L2	down	0.6
STMN3	down	0.6
CROT	down	0.6
NGEF	down	0.6
TIGD2	down	0.6
KIAA1109	down	0.6
HJURP	down	0.6
MTMR10	down	0.6
TRIM33	down	0.8
PLA2G4A	down	0.8
PKN2	down	0.6
QSOX1	down	0.6
ZNF618	down	0.6
TRIM16L	down	0.8
COL12A1	down	0.8
CCNA2	down	0.6
KAT6A	down	0.8
LTK	down	0.8
KCNJ2	down	0.8
MYO1B	down	0.8
MYO5A	down	0.8
ALDH1A3	down	0.6
