Name	Score	padj	coverage	n_topfrac
CCDC3	0.00289342337445808	0.00289342337445808	5	2
LEF1	0.00291653011567392	0.00291653011567392	5	2
TCN2	0.00291653011567392	0.00291653011567392	5	2
TLDC2	0.00296301494002517	0.00296301494002517	5	2
APOL1	0.00303342027480767	0.00303342027480767	5	2
RIMS1	0.00305706947753633	0.00305706947753633	5	2
RPL7AP6	0.00307787002054834	0.00307787002054834	4	1
MAGED4B	0.00307787002054834	0.00307787002054834	4	1
SFRP1	0.00307787002054834	0.00307787002054834	5	2
SPON1	0.00307787002054834	0.00307787002054834	4	1
GLDN	0.00307787002054834	0.00307787002054834	5	1
RFTN2	0.00308080903067011	0.00308080903067011	5	2
ABCA8	0.00322514275077853	0.00322514275077853	5	2
SORT1	0.00322514275077853	0.00322514275077853	5	2
MT-ATP6	0.00324951427818091	0.00324951427818091	3	2
UPP1	0.00332317007420629	0.00332317007420629	5	2
CALCRL	0.00334790235388587	0.00334790235388587	5	2
ISM1	0.00354900439056103	0.00354900439056103	5	2
SRM	0.0036001803291851	0.0036001803291851	5	2
ANKRD13D	0.00375586699169896	0.00375586699169896	5	2
IFIH1	0.00383492382995418	0.00383492382995418	5	2
PPAP2C	0.00384710064254734	0.00384710064254734	4	2
TES	0.00384710064254734	0.00384710064254734	5	1
LOC285847	0.00384710064254734	0.00384710064254734	1	1
TMTC1	0.00386145577451708	0.00386145577451708	5	2
FAU	0.00399546221891186	0.00399546221891186	5	2
RPL13A	0.00402253273282321	0.00402253273282321	4	2
RPL29	0.00404969294865825	0.00404969294865825	5	2
IL16	0.00404969294865825	0.00404969294865825	5	2
SP110	0.00415923049057668	0.00415923049057668	5	2
CSGALNACT1	0.00418683896055015	0.00418683896055015	5	2
CERS6	0.00421453703026646	0.00421453703026646	5	2
RPS2P46	0.00424232468270108	0.00424232468270108	4	2
ID4	0.004298168667635	0.004298168667635	5	2
ACTG2	0.00432622496609319	0.00432622496609319	5	2
RORA	0.00432622496609319	0.00432622496609319	5	2
IL1RL2	0.00438260608990119	0.00438260608990119	5	2
SSSCA1	0.00441093088121948	0.00441093088121948	5	2
NLGN1	0.00446784883761776	0.00446784883761776	5	2
