gene	direction	loo_fraction	rra_score	padj	coverage	n_topfrac
CEP170	down	0.8	0.0112617981627691	0.0112617981627691	5	2
FST	down	0.8	0.0115341978398846	0.0115341978398846	5	1
SSC5D	down	0.8	0.0115341978398846	0.0115341978398846	5	1
IFI30	down	0.8	0.0118515307164189	0.0118515307164189	4	2
PTGIS	down	0.8	0.0123023868498165	0.0123023868498165	5	1
IGFBP3	down	0.8	0.0125028978269724	0.0125028978269724	5	2
LYPD6B	down	0.8	0.0125500685363062	0.0125500685363062	5	2
GALNT3	down	0.8	0.0125973250883172	0.0125973250883172	5	2
CACNA2D3	down	0.8	0.012930523147273	0.012930523147273	5	2
HPCAL1	down	0.8	0.0130704812202253	0.0130704812202253	5	2
PTGFR	down	0.8	0.0130704812202253	0.0130704812202253	5	2
SLIT2	down	0.8	0.0130746082890482	0.0130746082890482	5	2
UHMK1	down	0.8	0.0135604574304435	0.0135604574304435	5	2
FRYL	down	0.8	0.0138065890265385	0.0138065890265385	5	2
CEP350	down	0.8	0.0138384809598559	0.0138384809598559	5	2
HSPA12A	down	0.8	0.0138384809598559	0.0138384809598559	5	1
KYNU	down	0.8	0.0145577869688384	0.0145577869688384	5	2
IFI27	down	0.8	0.0146063860774525	0.0146063860774525	5	1
GFRA1	down	0.8	0.0150692341221584	0.0150692341221584	5	2
DPYD	down	0.8	0.015374196581759	0.015374196581759	5	1
MMP3	down	0.8	0.015374196581759	0.015374196581759	5	1
MYO1D	down	0.8	0.015374196581759	0.015374196581759	5	1
OSBP2	down	0.8	0.015374196581759	0.015374196581759	5	1
AMIGO2	down	0.8	0.0161419124815184	0.0161419124815184	5	1
HEPH	down	0.8	0.0161419124815184	0.0161419124815184	5	1
HIP1	down	0.8	0.0161419124815184	0.0161419124815184	5	1
KIF20A	down	0.8	0.0161419124815184	0.0161419124815184	5	1
DNAJB14	down	0.8	0.0161709190740269	0.0161709190740269	5	2
PBX1	down	0.8	0.0164387327785492	0.0164387327785492	5	2
RASA1	down	0.8	0.0164387327785492	0.0164387327785492	5	2
ITIH5	down	0.8	0.0167628996443932	0.0167628996443932	5	2
MARVELD3	down	0.8	0.0169095337854736	0.0169095337854736	4	1
SERTAD2	down	0.8	0.017035361623086	0.017035361623086	5	2
ANKRD50	down	0.8	0.0171449372026292	0.0171449372026292	5	2
EPHB2	down	0.8	0.017365100413907	0.017365100413907	5	2
IL6ST	down	0.8	0.0174756877812324	0.0174756877812324	5	2
SYNPO	down	0.8	0.0176770605023666	0.0176770605023666	5	1
