Name	Score	padj	coverage	n_topfrac
PLEKHA2	0.648471844196747	0.648471844196747	5	1
PELI3	0.648471844196747	0.648471844196747	5	1
RP11-94A24.1	0.649160507890342	0.649160507890342	3	1
PREPL	0.649160507890342	0.649160507890342	5	1
TRUB1	0.649160507890342	0.649160507890342	5	1
RPS10-NUDT3	0.649160507890342	0.649160507890342	2	1
C3orf67	0.649849084392002	0.649849084392002	5	1
RP11-3D4.2	0.649849084392002	0.649849084392002	3	1
THOC5	0.649849084392002	0.649849084392002	5	1
RPL39	0.649849084392002	0.649849084392002	4	1
ATF2	0.650537573710008	0.650537573710008	5	1
MNAT1	0.650537573710008	0.650537573710008	5	1
PRDM5	0.650537573710008	0.650537573710008	5	1
RAD51	0.65122597585264	0.65122597585264	5	1
RP11-519G16.5	0.65122597585264	0.65122597585264	1	1
TMEM135	0.65122597585264	0.65122597585264	5	1
SRP9	0.65122597585264	0.65122597585264	5	1
FBXO4	0.651914290828175	0.651914290828175	5	1
TAF2	0.651914290828175	0.651914290828175	5	1
DYNC2H1	0.651914290828175	0.651914290828175	5	1
C1orf21	0.651914290828175	0.651914290828175	5	1
NUFIP2	0.652602518644892	0.652602518644892	5	1
LOC102724947	0.652602518644892	0.652602518644892	1	1
C6orf165	0.653290659311069	0.653290659311069	4	1
ZNF609	0.653290659311069	0.653290659311069	5	1
EDEM1	0.653290659311069	0.653290659311069	5	1
NR4A3	0.653290659311069	0.653290659311069	5	1
REM2	0.653978712834983	0.653978712834983	5	1
CCT4	0.653978712834983	0.653978712834983	5	1
RPL32	0.653978712834983	0.653978712834983	4	1
HIVEP2	0.654666679224911	0.654666679224911	5	1
RPS8	0.654666679224911	0.654666679224911	5	1
ARFIP1	0.655354558489128	0.655354558489128	5	1
MEMO1	0.655354558489128	0.655354558489128	5	1
ABLIM1	0.655354558489128	0.655354558489128	5	1
TMEM2	0.656042350635912	0.656042350635912	5	1
CCR1	0.656042350635912	0.656042350635912	4	1
LBR	0.656042350635912	0.656042350635912	5	1
RP11-371E8.4	0.656730055673535	0.656730055673535	1	1
RBP3	0.656730055673535	0.656730055673535	1	1
CHRM2	0.656730055673535	0.656730055673535	5	1
RP11-589F5.4	0.657417673610274	0.657417673610274	2	1
SUZ12P	0.657417673610274	0.657417673610274	3	1
NIFK	0.657417673610274	0.657417673610274	5	1
C5orf28	0.657417673610274	0.657417673610274	4	1
DTD2	0.658105204454402	0.658105204454402	5	1
RN7SL81P	0.658105204454402	0.658105204454402	2	1
LOC101929500	0.658105204454402	0.658105204454402	1	1
ORC2	0.658792648214193	0.658792648214193	5	1
FAT1	0.658792648214193	0.658792648214193	5	1
FLJ42258	0.658792648214193	0.658792648214193	2	1
CDC73	0.659480004897919	0.659480004897919	5	1
BHLHB9	0.659480004897919	0.659480004897919	4	1
ZNF703	0.659480004897919	0.659480004897919	5	1
DSTNP1	0.660167274513853	0.660167274513853	3	1
SOWAHC	0.660167274513853	0.660167274513853	5	1
PSMB6	0.660167274513853	0.660167274513853	5	1
RBM48	0.660854457070268	0.660854457070268	5	1
SNAP47	0.660854457070268	0.660854457070268	5	1
TRIM67	0.660854457070268	0.660854457070268	2	1
GFI1	0.661541552575434	0.661541552575434	4	1
PLA2G12B	0.661541552575434	0.661541552575434	2	1
RHD	0.661541552575434	0.661541552575434	4	1
HNRNPR	0.662228561037623	0.662228561037623	5	1
LOC101928289	0.662228561037623	0.662228561037623	1	1
MPRIP	0.662915482465104	0.662915482465104	5	1
PSORS1C2	0.662915482465104	0.662915482465104	3	1
FNIP1	0.662915482465104	0.662915482465104	5	1
CBX5	0.663602316866148	0.663602316866148	5	1
WAC-AS1	0.663602316866148	0.663602316866148	4	1
MYC	0.663602316866148	0.663602316866148	5	1
GUSBP3	0.664289064249024	0.664289064249024	3	1
WNT2	0.664289064249024	0.664289064249024	4	1
UNC5B-AS1	0.664289064249024	0.664289064249024	2	1
RP11-318E3.9	0.664975724622001	0.664975724622001	3	1
CPS1	0.664975724622001	0.664975724622001	5	1
DOCK1	0.665662297993347	0.665662297993347	5	1
ADAM10	0.665662297993347	0.665662297993347	5	1
PRPF38B	0.66634878437133	0.66634878437133	5	1
TRAK1	0.66634878437133	0.66634878437133	5	1
CAMK2N2	0.66634878437133	0.66634878437133	5	1
BTD	0.667035183764216	0.667035183764216	5	1
ERN1	0.667035183764216	0.667035183764216	5	1
LOC100421296	0.667035183764216	0.667035183764216	1	1
AC144831.1	0.667721496180274	0.667721496180274	3	1
C12orf49	0.667721496180274	0.667721496180274	5	1
SGK1	0.667721496180274	0.667721496180274	5	1
SDC3	0.668407721627769	0.668407721627769	5	1
RNF149	0.668407721627769	0.668407721627769	5	1
CC2D2A	0.669093860114966	0.669093860114966	5	1
PCDHGA11	0.669093860114966	0.669093860114966	4	1
LDHB	0.669093860114966	0.669093860114966	5	1
ZNF236	0.669779911650131	0.669779911650131	5	1
ASAH2B	0.669779911650131	0.669779911650131	5	1
NFE2	0.669779911650131	0.669779911650131	5	1
MSRB2	0.670465876241529	0.670465876241529	5	1
HMGN2P3	0.670465876241529	0.670465876241529	4	1
KCND2	0.671151753897423	0.671151753897423	4	1
MZT2B	0.671837544626077	0.671837544626077	5	1
RARB	0.671837544626077	0.671837544626077	2	1
FAM65B	0.672523248435754	0.672523248435754	5	1
BX322557.10	0.672523248435754	0.672523248435754	2	1
DTD1	0.672523248435754	0.672523248435754	5	1
TMEM206	0.672523248435754	0.672523248435754	5	1
RP11-245M24.1	0.673208865334717	0.673208865334717	4	1
AKAP9	0.673208865334717	0.673208865334717	5	1
MRPL2	0.673208865334717	0.673208865334717	5	1
PGAM4	0.673208865334717	0.673208865334717	4	1
NIN	0.673894395331227	0.673894395331227	5	1
AGO1	0.673894395331227	0.673894395331227	5	1
ARID1A	0.674579838433547	0.674579838433547	5	1
STK3	0.674579838433547	0.674579838433547	5	1
IMPDH2	0.674579838433547	0.674579838433547	5	1
PTGS1	0.675265194649936	0.675265194649936	5	1
ATP11B	0.675265194649936	0.675265194649936	5	1
POFUT2	0.675265194649936	0.675265194649936	5	1
SERPINB6	0.675265194649936	0.675265194649936	5	1
FAM69A	0.675950463988657	0.675950463988657	5	1
C15orf38	0.675950463988657	0.675950463988657	4	1
LOC100133315	0.675950463988657	0.675950463988657	2	1
TTLL3	0.676635646457967	0.676635646457967	4	1
CHD2	0.676635646457967	0.676635646457967	5	1
TRIM28	0.676635646457967	0.676635646457967	5	1
OPHN1	0.677320742066127	0.677320742066127	5	1
GLYATL1P2	0.677320742066127	0.677320742066127	1	1
MYLIP	0.678005750821397	0.678005750821397	5	1
PRR13	0.678005750821397	0.678005750821397	5	1
IPO5	0.678005750821397	0.678005750821397	5	1
COG6	0.678690672732032	0.678690672732032	5	1
RP11-176H8.1	0.678690672732032	0.678690672732032	2	1
RRP7BP	0.678690672732032	0.678690672732032	1	1
HIST1H2BH	0.678690672732032	0.678690672732032	3	1
SLC13A1	0.679375507806293	0.679375507806293	1	1
DPY19L2P1	0.679375507806293	0.679375507806293	3	1
LL21NC02-1C16.2	0.680060256052436	0.680060256052436	2	1
OR4A47	0.680060256052436	0.680060256052436	1	1
SLC6A17	0.680060256052436	0.680060256052436	5	1
MEAF6	0.680744917478717	0.680744917478717	5	1
AL353898.2	0.680744917478717	0.680744917478717	2	1
KRTAP1-3	0.681429492093394	0.681429492093394	2	1
PVRIG	0.681429492093394	0.681429492093394	4	1
ANKFN1	0.681429492093394	0.681429492093394	4	1
C1orf132	0.682113979904721	0.682113979904721	3	1
CLOCK	0.682113979904721	0.682113979904721	5	1
HIBADH	0.682113979904721	0.682113979904721	5	1
TOX2	0.682113979904721	0.682113979904721	5	1
PRDM8	0.682798380920954	0.682798380920954	5	1
HPS5	0.682798380920954	0.682798380920954	5	1
RABGGTB	0.682798380920954	0.682798380920954	5	1
EEF2	0.682798380920954	0.682798380920954	5	1
SPIRE1	0.683482695150349	0.683482695150349	5	1
TMEM208	0.683482695150349	0.683482695150349	5	1
LOC100420885	0.683482695150349	0.683482695150349	1	1
ARHGEF12	0.684166922601157	0.684166922601157	5	1
TCF7L2	0.684166922601157	0.684166922601157	5	1
CTTNBP2NL	0.684851063281634	0.684851063281634	5	1
G3BP2	0.684851063281634	0.684851063281634	5	1
IDH1	0.684851063281634	0.684851063281634	5	1
LOC100128974	0.684851063281634	0.684851063281634	1	1
WDR44	0.685535117200033	0.685535117200033	5	1
RPLP0P2	0.685535117200033	0.685535117200033	4	1
MBD5	0.686219084364606	0.686219084364606	5	1
TTC13	0.686219084364606	0.686219084364606	5	1
PCDH11Y	0.686219084364606	0.686219084364606	1	1
KCNE3	0.686219084364606	0.686219084364606	5	1
ATRN	0.686902964783605	0.686902964783605	5	1
