pert	cell	type	trend	WTCS	WTCS_Pval	WTCS_FDR	NCS	Tau	TauRefSize	NCSct	N_upset	N_downset	t_gn_sym	MOAss	PCIDss
amsacrine	ASC	trt_cp	up	0.307548121960778	0.000240221954641656	0.0429557982393461	1.38593807458602	NA	NA	0	113	118	ALB; KCNH2; ORM1; TOP2A; TOP2B	Topoisomerase inhibitor	2179
BRD-K92033419	VCAP	trt_cp	up	0.309223039650647	0.000219746514486058	0.0429557982393461	1.38558137174991	NA	NA	0.0138558137174994	113	118	NA	NA	9906851
ST-013960	SKB	trt_cp	up	0.321264011651392	8.28591669633538e-05	0.03305537412682	1.38531194156062	NA	NA	0	113	118	NA	NA	2300880
benzopurpurin-4b	SKB	trt_cp	up	0.321228772091975	8.28591669633538e-05	0.03305537412682	1.38515998621952	NA	NA	0.976360196233301	113	118	NA	HIV entry inhibitor	13816
seneciphylline	MCF7	trt_cp	down	-0.306767051491057	0.000262590448244158	0.0442036873242071	-1.38511254833565	NA	NA	0	113	118	NA	Cytochrome P450 inhibitor	5281750
cilnidipine	ASC	trt_cp	down	-0.29856529539449	0.000548572074136847	0.0620940350715097	-1.38463740274764	NA	NA	0	113	118	CACNA1B; CACNA1C; CACNA1D; CACNA1F; CACNA1S; CACNB1; CACNB2; CACNB3; CACNB4	Calcium channel blocker	5282138
BRD-K01614657	NPC	trt_cp	down	-0.314832602729951	0.000131708649587495	0.0351907133746681	-1.38353362845457	NA	NA	0	113	118	NA	NA	24869085
SKF-81297	VCAP	trt_cp	down	-0.308350558165333	0.000240221954641656	0.0429557982393461	-1.38296837054027	NA	NA	0	113	118	DRD1	Dopamine receptor agonist	11957706
saracatinib	HS578T	trt_cp	up	0.329144793787702	5.02638329005639e-05	0.0324205118355907	1.38208948864466	NA	NA	0	113	118	ABL1; ABL2; LCK; SRC; YES1	SRC inhibitor	10302451
BRD-K02437976	PC3	trt_cp	up	0.314613575358256	0.000131708649587495	0.0351907133746681	1.38163129730617	NA	NA	0.0138163129730621	113	118	NA	NA	60138084
BRD-K05562558	SKB	trt_cp	up	0.32034034655649	8.91911043547236e-05	0.03305537412682	1.38132903578979	NA	NA	-0.400243352307153	113	118	NA	NA	44507495
BRD-K65455015	VCAP	trt_cp	up	0.308249136945965	0.000240221954641656	0.0429557982393461	1.38121746197453	NA	NA	0.469613937071338	113	118	NA	NA	44496000
BIX-01338	NPC	trt_cp	up	0.315305259318323	0.000131708649587495	0.0351907133746681	1.38117122956615	NA	NA	0	113	118	NA	Histone lysine methyltransferase inhibitor	56676725
cefixime	VCAP	trt_cp	down	-0.30792542179971	0.000240221954641656	0.0429557982393461	-1.381061611719	NA	NA	0	113	118	NA	Bacterial cell wall synthesis inhibitor	6321411
BRD-K85102293	MCF7	trt_cp	up	0.311240455624077	0.000182864611123956	0.0394541129991199	1.38074895389876	NA	NA	0.925101799112168	113	118	NA	NA	44497120
SA-1456352	MCF7	trt_cp	up	0.311064017919145	0.000182864611123956	0.0394541129991199	1.37996622732157	NA	NA	0.924577372305454	113	118	NA	NA	54658965
capsaicin	NPC	trt_cp	down	-0.313973573416029	0.000142914655623768	0.036487699521366	-1.37975861934391	NA	NA	-0.0155646683961399	113	118	CFTR; ENOX2; FOS; NTRK1; PHB2; TRPV1	TRPV agonist	1548942
4,5,6,7-tetrabromobenzotriazole	SKB	trt_cp	up	0.319922327944638	8.91911043547236e-05	0.03305537412682	1.37952651153001	NA	NA	0	113	118	AKT1; CHEK1; CSNK2A1; CSNK2A2; CSNK2B; GSK3B; LCK; MAP2K1; MAPK11; MAPK12; MAPK14; MAPK8; PRKCA; ROCK1; RPS6KB1; SGK1	Casein kinase inhibitor	1694
BRD-K05775306	SKB	trt_cp	up	0.319903055490223	8.91911043547236e-05	0.03305537412682	1.3794434074154	NA	NA	0.944960654831263	113	118	NA	NA	2966632
cediranib	SKB	trt_cp	up	0.319873387989693	8.91911043547236e-05	0.03305537412682	1.37931547916552	NA	NA	1.04357901103879	113	118	CSF1R; DDR1; DDR2; EPHA6; FGFR2; FGFR3; FLT1; FLT3; FLT4; KDR; KIT; PDGFRA; PDGFRB; RET; SLK; STK10; STK35	KIT inhibitor; VEGFR inhibitor	9933475
BRD-K67778494	PC3	trt_cp	up	0.31398471136776	0.000142914655623768	0.036487699521366	1.37886962953634	NA	NA	0	113	118	NA	NA	7694069
BRD-K73008154	NPC	trt_cp	up	0.314402681110583	0.000142914655623768	0.036487699521366	1.37721755287944	NA	NA	0	113	118	NA	NA	54666534
BRD-K07395346	MCF7	trt_cp	down	-0.3049945803309	0.000316770943448662	0.0486873761776813	-1.377109498355	NA	NA	-0.54805710904911	113	118	NA	NA	44494352
BRD-A98050686	PC3	trt_cp	down	-0.310048173727042	0.000200206721436402	0.0418213640469604	-1.37707366916363	NA	NA	-0.0250551109928861	113	118	NA	NA	2838441
prednisolone	A549	trt_cp	down	-0.311813103231258	0.000167807220488809	0.0383669085810135	-1.37697296017802	NA	NA	-1.07422692055563	113	118	CRP; NR3C1; NR3C2; SERPINA6	Glucocorticoid receptor agonist	5755
arctigenin	MCF7	trt_cp	down	-0.304959506037596	0.000316770943448662	0.0486873761776813	-1.37695113113942	NA	NA	-0.0346741907802813	113	118	ADIPOR1; AHR; CHUK; MAP2K1	MEK inhibitor	64981
tropicamide	HA1E	trt_cp	down	-0.309128735701771	0.000219746514486058	0.0429557982393461	-1.37559617865798	NA	NA	-0.0168839217650564	113	118	CHRM1; CHRM4	Acetylcholine receptor antagonist	5593
BRD-K17698750	PC3	trt_cp	up	0.312894861914644	0.000155447974996376	0.0372071205152784	1.37408353563667	NA	NA	0.920635968876566	113	118	NA	NA	54614707
YM-90709	PHH	trt_cp	up	0.315666384914361	0.000121808197652535	0.0347690529895647	1.37398733052362	NA	NA	0.0273869373687836	113	118	CSF2RB; IL5RA	IL5 inhibitor	1103147
GSK-1904529A	NPC	trt_cp	down	-0.312577409332284	0.000155447974996376	0.0372071205152784	-1.37362316849177	NA	NA	-0.0287645548671061	113	118	IGF1R; INSR	IGF-1 inhibitor; IGF-1R inhibitor; Insulin receptor ligand	25124816
tozasertib	SKBR3	trt_cp	up	0.317751677638352	0.000103269329413886	0.0331877293884233	1.37352915990538	NA	NA	0	113	118	ABL1; ABL2; AURKA; AURKAIP1; AURKB; AURKC; BCR; BMP2K; CDKL2; DDR1; DDR2; EPHA2; EPHB6; FLT3; INCENP; JAK2; LCK; LIMK1; MAP3K19; MAP4K1; MAP4K5; MYLK2; MYLK3; NTRK1; NTRK2; NTRK3; NUAK1; PLK4; RET; RIPK1; ROS1; SLK; SRPK1; TAOK2; TAOK3; TEK; TNK1; TPX2; YES1	Aurora kinase inhibitor; BCR-ABL kinase inhibitor; FLT3 inhibitor; JAK inhibitor	5494449
