gene	source
CHRNB1	DGIdb
NT5C3A	DGIdb
CYP2C18	DGIdb
FTO	DGIdb
ERICH3	DGIdb
ECT2L	DGIdb
CYP4X1	DGIdb
HNMT	DGIdb
NOS3	DGIdb
CBR1	DGIdb
ABCB4	DGIdb
CYP4F2	DGIdb
GPR35	DGIdb
SPG7	DGIdb
SULT2B1	DGIdb
UGT1A6	DGIdb
UGT1A7	DGIdb
HLA-C	DGIdb
SLCO2A1	DGIdb
CERS6	DGIdb
RGL4	DGIdb
HYKK	DGIdb
TNFRSF1B	DGIdb
SLC30A8	DGIdb
THRA	DGIdb
UGT2B7	DGIdb
UGT1A9	DGIdb
BCR	DGIdb
SIK3	DGIdb
SMAD7	DGIdb
PSORS1C1	DGIdb
WDR24	DGIdb
ST6GAL1	DGIdb
ADH1A	DGIdb
SULT1A3	DGIdb
LTC4S	DGIdb
GLCCI1	DGIdb
MOBP	DGIdb
AK4	DGIdb
EGLN2	DGIdb
PRORP	DGIdb
MLLT3	DGIdb
UGT1A5	DGIdb
GLT1D1	DGIdb
TNFRSF11A	DGIdb
PML	DGIdb
FGA	DGIdb
PTCH1	DGIdb
TNFSF11	DGIdb
IL15	DGIdb
DPP4	DGIdb
GHR	DGIdb
MC1R	DGIdb
MC4R	DGIdb
DRD4	DGIdb
CACNB3	DGIdb
MBP	DGIdb
INHA	DGIdb
GRIA2	DGIdb
OLR1	DGIdb
SSTR2	DGIdb
MAPK9	DGIdb
ESR2	DGIdb
TNNC1	DGIdb
TNNC2	DGIdb
TNNI1	DGIdb
PTGER2	DGIdb
TNNI2	DGIdb
TNNT2	DGIdb
CD55	DGIdb
ICAM1	DGIdb
PDHA2	DGIdb
PDHA1	DGIdb
FGFR4	DGIdb
P2RX7	DGIdb
PDGFB	DGIdb
APP	DGIdb
ADORA1	DGIdb
PROCR	DGIdb
F8	DGIdb
CD248	DGIdb
PTGFR	DGIdb
RARA	DGIdb
IGF1	DGIdb
IFNLR1	DGIdb
IFNAR2	DGIdb
LIG1	DGIdb
SPHK2	DGIdb
GP6	DGIdb
S1PR1	DGIdb
ITGA4	DGIdb
CALCR	DGIdb
CD3E	DGIdb
XK	DGIdb
CCKBR	DGIdb
EGF	DGIdb
CHRNB4	DGIdb
HTR1B	DGIdb
TLR8	DGIdb
GABRR3	DGIdb
UGCG	DGIdb
GNRHR2	DGIdb
EPOR	DGIdb
KCNJ1	DGIdb
PDE3A	DGIdb
CHRNA2	DGIdb
SCTR	DGIdb
HRH2	DGIdb
DRD5	DGIdb
CA1	DGIdb
ACHE	DGIdb
AVPR2	DGIdb
ABAT	DGIdb
CD80	DGIdb
RRM2	DGIdb
CHRNA1	DGIdb
DDC	DGIdb
CETP	DGIdb
F11	DGIdb
CD47	DGIdb
GLRB	DGIdb
PRMT5	DGIdb
IDO1	DGIdb
PDE7B	DGIdb
XPO1	DGIdb
EZH2	DGIdb
RHO	DGIdb
TF	DGIdb
JAK3	DGIdb
S100A12	DGIdb
HK2	DGIdb
VDAC1	DGIdb
PPM1A	DGIdb
PPP2CA	DGIdb
AOC3	DGIdb
PTPN1	DGIdb
GCG	DGIdb
GLUL	DGIdb
SERPINA1	DGIdb
IFNA2	DGIdb
IL1R2	DGIdb
PTGER4	DGIdb
MCHR1	DGIdb
BSG	DGIdb
HDC	DGIdb
OPN4	DGIdb
HR	DGIdb
ITGB8	DGIdb
KDM5A	DGIdb
AADAT	DGIdb
EGLN1	DGIdb
S1PR3	DGIdb
DPP7	DGIdb
ZAP70	DGIdb
SRD5A3	DGIdb
TMPRSS15	DGIdb
ERN1	DGIdb
HCK	DGIdb
PSIP1	DGIdb
SRD5A1	DGIdb
HPN	DGIdb
FURIN	DGIdb
AVPR1B	DGIdb
PTPRD	DGIdb
SIRT2	DGIdb
PDE3B	DGIdb
DDR1	DGIdb
IFNGR2	DGIdb
CTRC	DGIdb
BUB1	DGIdb
SLC46A1	DGIdb
PDE4D	DGIdb
F2	DGIdb
LGMN	DGIdb
KCNA5	DGIdb
CNR2	DGIdb
SPTBN1	DGIdb
IFNB1	DGIdb
TBXA2R	DGIdb
ADORA2A	DGIdb
KCNK2	DGIdb
TRPV4	DGIdb
KCNK3	DGIdb
IL11RA	DGIdb
KCNK9	DGIdb
CNGA1	DGIdb
TLR2	DGIdb
LTF	DGIdb
CSF2RB	DGIdb
TGFBR1	DGIdb
SERPINF1	DGIdb
TYMP	DGIdb
ADAM17	DGIdb
PTGDR	DGIdb
METAP2	DGIdb
HMBS	DGIdb
TUSC2	DGIdb
TYR	DGIdb
RAB4B-EGLN2	DGIdb
CA6	DGIdb
CA12	DGIdb
TUB	DGIdb
