signature	direction	gene
RRA744_pan_dental	down	LDB2
RRA744_pan_dental	down	IRS1
RRA744_pan_dental	down	EPG5
RRA744_pan_dental	down	ZNF521
RRA744_pan_dental	down	MEST
RRA744_pan_dental	down	NR1D2
RRA744_pan_dental	down	SH2D4A
RRA744_pan_dental	down	DLX2
RRA744_pan_dental	down	PDE1C
RRA744_pan_dental	down	NPTX1
RRA744_pan_dental	down	DOK6
RRA744_pan_dental	down	BROX
RRA744_pan_dental	down	FRMD6
RRA744_pan_dental	down	UFL1
RRA744_pan_dental	down	IGF2BP3
RRA744_pan_dental	down	SLC7A5
RRA744_pan_dental	down	TMOD2
RRA744_pan_dental	down	ADAMTS14
RRA744_pan_dental	down	UGCG
RRA744_pan_dental	down	CIT
RRA744_pan_dental	down	FMN2
RRA744_pan_dental	down	LIF
RRA744_pan_dental	down	ATP8B1
RRA744_pan_dental	down	IL7R
RRA744_pan_dental	down	LOXL2
RRA744_pan_dental	down	SLC14A1
RRA744_pan_dental	down	LRRC15
RRA744_pan_dental	down	BDKRB1
RRA744_pan_dental	down	DNAJC6
RRA744_pan_dental	down	RAB3B
RRA744_pan_dental	down	KLF7
RRA744_pan_dental	down	MYLK
RRA744_pan_dental	down	TKT
RRA744_pan_dental	down	GNG12
RRA744_pan_dental	down	TNS1
RRA744_pan_dental	down	SLC4A7
RRA744_pan_dental	down	SAMD9
RRA744_pan_dental	down	RGMB-AS1
RRA744_pan_dental	down	SLC1A5
RRA744_pan_dental	down	AHR
RRA744_pan_dental	down	MKX
RRA744_pan_dental	down	NTNG1
RRA744_pan_dental	down	FGF2
RRA744_pan_dental	down	FMN1
RRA744_pan_dental	down	HMOX1
RRA744_pan_dental	down	TMEM47
RRA744_pan_dental	down	FAM107B
RRA744_pan_dental	down	ICK
RRA744_pan_dental	down	FAM171B
RRA744_pan_dental	down	KCTD12
RRA744_pan_dental	down	DLX1
RRA744_pan_dental	down	NEK10
RRA744_pan_dental	down	PIEZO2
RRA744_pan_dental	down	CCBE1
RRA744_pan_dental	down	LONP1
RRA744_pan_dental	down	COLEC12
RRA744_pan_dental	down	PLCB4
RRA744_pan_dental	down	PLK2
RRA744_pan_dental	down	SASH1
RRA744_pan_dental	down	THBS2
RRA744_pan_dental	down	MYOF
RRA744_pan_dental	down	ITGB8
RRA744_pan_dental	down	KCNH1
RRA744_pan_dental	down	DLC1
RRA744_pan_dental	down	ELFN1
RRA744_pan_dental	down	FLNB
RRA744_pan_dental	down	EYA1
RRA744_pan_dental	down	VEGFC
RRA744_pan_dental	down	SLFN5
RRA744_pan_dental	down	SYNJ2
RRA744_pan_dental	down	CACNA2D1
RRA744_pan_dental	down	MAMLD1
RRA744_pan_dental	down	EEA1
RRA744_pan_dental	down	SCN9A
RRA744_pan_dental	down	PSPH
RRA744_pan_dental	down	TXNRD1
RRA744_pan_dental	down	AK5
RRA744_pan_dental	down	NRP1
RRA744_pan_dental	down	ARL4C
RRA744_pan_dental	down	KCND3
RRA744_pan_dental	down	PER3
RRA744_pan_dental	down	SYT11
RRA744_pan_dental	down	RND3
RRA744_pan_dental	down	PRKG2
RRA744_pan_dental	down	TGFBI
RRA744_pan_dental	down	PDGFC
RRA744_pan_dental	down	CPA4
RRA744_pan_dental	down	KCTD16
RRA744_pan_dental	down	HMCN1
RRA744_pan_dental	down	ID2
RRA744_pan_dental	down	LIMA1
RRA744_pan_dental	down	GULP1
RRA744_pan_dental	down	HIVEP1
RRA744_pan_dental	down	RAPH1
RRA744_pan_dental	down	LYPD6
RRA744_pan_dental	down	SLC22A15
RRA744_pan_dental	down	JUN
RRA744_pan_dental	down	ADCY9
RRA744_pan_dental	down	IGFBP2
RRA744_pan_dental	down	LINC00968
RRA744_pan_dental	down	SERF1B
RRA744_pan_dental	down	SEMA3A
RRA744_pan_dental	down	NHSL2
RRA744_pan_dental	down	PRRX1
RRA744_pan_dental	down	SMC4
RRA744_pan_dental	down	KRTAP1-5
RRA744_pan_dental	down	SCN8A
RRA744_pan_dental	down	SOCS5
RRA744_pan_dental	down	NUDT6
RRA744_pan_dental	down	TM4SF20
RRA744_pan_dental	down	NDNF
