atlas	signature	compartment	score_z
GSE269255_mouse_ORNJ	GO_biomineral_tissue_dev	Mesenchymal_osteo	1.78
GSE269255_mouse_ORNJ	GO_biomineral_tissue_dev	Myeloid	-0.458
GSE269255_mouse_ORNJ	GO_biomineral_tissue_dev	Tcell	-0.572
GSE269255_mouse_ORNJ	GO_reg_bone_mineralization	Bcell	-0.563
GSE269255_mouse_ORNJ	GO_reg_bone_mineralization	Endothelial	-0.454
GSE269255_mouse_ORNJ	GO_reg_bone_mineralization	Epithelial	0.819
GSE269255_mouse_ORNJ	GO_reg_bone_mineralization	Erythroid	-0.789
GSE269255_mouse_ORNJ	GO_reg_bone_mineralization	Mesenchymal_osteo	1.929
GSE269255_mouse_ORNJ	GO_reg_bone_mineralization	Myeloid	-0.377
GSE269255_mouse_ORNJ	GO_reg_bone_mineralization	Tcell	-0.565
GSE269255_mouse_ORNJ	EX_SCAP_simvastatin_GSE286540	Bcell	-0.347
GSE269255_mouse_ORNJ	EX_SCAP_simvastatin_GSE286540	Endothelial	0.176
GSE269255_mouse_ORNJ	EX_SCAP_simvastatin_GSE286540	Epithelial	0.797
GSE269255_mouse_ORNJ	EX_SCAP_simvastatin_GSE286540	Erythroid	-1.714
GSE269255_mouse_ORNJ	EX_SCAP_simvastatin_GSE286540	Mesenchymal_osteo	1.455
GSE269255_mouse_ORNJ	EX_SCAP_simvastatin_GSE286540	Myeloid	-0.396
GSE269255_mouse_ORNJ	EX_SCAP_simvastatin_GSE286540	Tcell	0.029
GSE269255_mouse_ORNJ	EX_DPSC_cannabidiol_GSE271641	Bcell	0.299
GSE269255_mouse_ORNJ	EX_DPSC_cannabidiol_GSE271641	Endothelial	-0.317
GSE269255_mouse_ORNJ	EX_DPSC_cannabidiol_GSE271641	Epithelial	-2.002
GSE269255_mouse_ORNJ	EX_DPSC_cannabidiol_GSE271641	Erythroid	0.82
GSE269255_mouse_ORNJ	EX_DPSC_cannabidiol_GSE271641	Mesenchymal_osteo	1.054
GSE269255_mouse_ORNJ	EX_DPSC_cannabidiol_GSE271641	Myeloid	0.017
GSE269255_mouse_ORNJ	EX_DPSC_cannabidiol_GSE271641	Tcell	0.128
GSE269255_mouse_ORNJ	EX_PDLSC_CALD1kd_GSE236009	Bcell	0.476
