gene	cell_type	is_dysregulated	abs_avg_log2FC	dataset
CACNB2	Endothelial	TRUE	0.517178329604497	GSE295106
NOL4L	Endothelial	TRUE	0.678313188498518	GSE295106
1700012B09RIK	Endothelial	TRUE	0.908994877296144	GSE295106
TGFB1	Endothelial	TRUE	0.272686445221529	GSE295106
EPS15	Endothelial	TRUE	0.438662469440357	GSE295106
CHMP5	Endothelial	TRUE	0.5912198049526	GSE295106
ANKRD12	Endothelial	TRUE	0.353985905180648	GSE295106
SOCS4	Endothelial	TRUE	0.454976757932285	GSE295106
GM15283	Endothelial	TRUE	1.00910562396978	GSE295106
CCDC138	Endothelial	TRUE	0.935829980471776	GSE295106
IGHG2C	Endothelial	TRUE	1.43274288814378	GSE295106
NIPA2	Endothelial	TRUE	0.336614856162513	GSE295106
UTRN	Endothelial	TRUE	0.392769183372945	GSE295106
KIF13B	Endothelial	TRUE	0.361702155187973	GSE295106
ADAMTS6	Endothelial	TRUE	0.538164236682753	GSE295106
PDCD1LG2	Endothelial	TRUE	1.22470995546701	GSE295106
RAB12	Endothelial	TRUE	0.395028743828441	GSE295106
EEF1E1	Endothelial	TRUE	0.837458828001376	GSE295106
PSMB3	Endothelial	TRUE	0.299243748355533	GSE295106
LARP1B	Endothelial	TRUE	0.617544853510743	GSE295106
TSPO	Endothelial	TRUE	0.283068952871482	GSE295106
IL1F9	Endothelial	TRUE	0.705922786627774	GSE295106
DGAT1	Endothelial	TRUE	0.53370378713775	GSE295106
PIGT	Endothelial	TRUE	0.72254000230296	GSE295106
NDUFB11	Endothelial	TRUE	0.313718125967445	GSE295106
ALYREF	Endothelial	TRUE	0.443662192668644	GSE295106
MYO16	Endothelial	TRUE	1.38282080228719	GSE295106
SYTL3	Endothelial	TRUE	0.461566934874802	GSE295106
SSH2	Endothelial	TRUE	0.250788030812854	GSE295106
MITF	Endothelial	TRUE	0.84438303765516	GSE295106
5033430I15RIK	Endothelial	TRUE	1.04796749204937	GSE295106
ATP13A2	Endothelial	TRUE	0.716146550938483	GSE295106
FLI1	Endothelial	TRUE	0.351245853022824	GSE295106
ARHGAP26	Endothelial	TRUE	0.320051570332164	GSE295106
SLC35B3	Endothelial	TRUE	0.427389491137892	GSE295106
SCARB2	Endothelial	TRUE	0.48972217670308	GSE295106
ST3GAL5	Endothelial	TRUE	0.875680519790175	GSE295106
SCD2	Endothelial	TRUE	0.766660871159716	GSE295106
NDFIP1	Endothelial	TRUE	0.334946334939516	GSE295106
PPP2R5A	Endothelial	TRUE	0.31787104499999	GSE295106
ARHGAP21	Endothelial	TRUE	0.382785325750075	GSE295106
GNS	Endothelial	TRUE	0.547859256358085	GSE295106
LAMTOR3	Endothelial	TRUE	0.526244162000534	GSE295106
PRPF8	Endothelial	TRUE	0.356494300399608	GSE295106
